"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Brunei Darussalam","BRN","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","4.66","7.77","7.12","5.73","4.63","5.09","4.98","5.7","6.54","7.38","8.34","6.56","7.16","10.47","9.12","10.24","11.13","9.8","10.95","14.65","16.44","18.06","18.7","20.02","30.79","23.88","16.71","13.37","16.46","12.27","14.71","23","22.66","24.44","24.43","19.55","28.24","34.62","44.16","50.11","59.15","66.66","64.5","60.43","41.94","78.06","82.34","85.06","85.2","89.42","96.67","98.59","107.37","99.77","97","103.23","99.38","101.93","101.41","109.18","120.03","123.11","","",
"Bhutan","BTN","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","67.41","72.36","76.97","79.02","81.05","82.26","84.63","86.2","88.86","91.13","93.24","95.44","97.2","100.05","102.9","106.05","108.43","111.25","113","116.98","119.91","124.16","129.3","134.31","139.31","136.08","141.11","142.41","147.66","156.76","17.69","15.23","15.75","16.42","18.35","20.69","25.18","29.2","28.81","24.95","25.5","22.92","21.65","23.74","21.92","56.22","54.81","61.68","64.97","66.84","70.67","85.2","79.58","85.01","98.64","116.35","129.16","143.64","154.88","166.1","149.75","132.29","","",
"Botswana","BWA","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","28.76","32.98","38.55","44.98","50.49","47.87","44.34","37.98","39.35","51.98","53.12","55.06","63.74","60.97","61.03","65.96","63.57","52.08","71.43","50.74","66.16","71.87","66.74","75.7","72.16","70.78","62.39","62.64","66.23","73.11","118.35","110.24","102.98","98.99","120.26","106.21","103.58","100.06","89.66","100.8","107.63","92.75","92.85","103.93","108.3","106.77","108.74","113.54","120.42","131.71","134.41","134.5","121.06","100.97","105.56","93.47","91.88","81.98","89.08","83.64","90.5","90.32","","",
"Central African Republic","CAF","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","10","10.32","10.67","10.85","11.37","11.41","12.61","12.02","13.28","14.13","14.95","15.11","15.73","16.53","17.89","17.57","18.9","20.68","20.03","22.73","24.22","26.1","28.77","29.32","31.79","33.18","37.15","39.39","41.05","42.56","44.38","46.43","47.16","48.2","51.46","60.28","54.71","55.86","56.44","67.92","68.28","70.39","69.06","74.34","76.43","78.59","83.48","84.59","86.64","90.53","96.05","97.35","99.29","99.85","99.82","100.33","103.2","102.87","105.76","106.76","108.29","109.89","","",
"Canada","CAN","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","54.26","54.42","55.74","58.86","61.09","61.26","62.24","63.41","62.92","64.95","65.77","65.7","64.97","66.02","67.92","70.3","70.14","69.11","67.16","70.51","71.92","72.8","72.49","72.62","74.04","74.42","73.66","75.09","75.18","73.53","71.86","73.52","72.44","75.82","77.92","80.22","83.26","88.72","93.92","95.71","97.71","99.86","97.11","106.11","105.62","102.48","101.12","102.85","101.04","100.3","92.6","90.5","89.82","97.39","99","103.6","108.97","112.68","115.01","116.06","118.15","119.08","","",
"Central Europe and the Baltics","CEB","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","",
"Switzerland","CHE","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","68.59","70.41","70.16","69.19","71.32","72.89","75.7","79.53","77.87","79.67","79.55","80.26","82.3","86","85.36","89.06","90.04","90.3","94.09","96.38","94.15","95.97","95.85","98.35","99.59","100.07","98.48","95.93","98.27","98.25","99.71","97.61","95.87","93.22","95.42","93.4","91.88","93.6","93.07","90.23","93.32","93.94","93.06","93.12","93.87","94.52","95.15","97.14","98.58","99.96","101.01","100.11","98.87","100.4","100.28","99.33","98.23","99.98","97.07","97.68","98.35","97.4","","",
"Channel Islands","CHI","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","24.27","25.73","27.11","25.15","27.48","29.34","29.72","33.15","33.95","35.25","30.46","25.05","24.85","35.04","37.89","35.93","34.09","33.83","35.53","37.87","42.05","41.47","40.12","38.44","38.16","39.65","40.99","43.65","47.31","51.47","51.81","52.83","58.1","62.93","67.01","68.99","72","74.37","72.6","74.88","79.52","78.36","78.53","83.97","87.38","95.76","96.74","100.14","95.81","96.35","99.13","103.49","99.09","99.15","100.46","100.39","96.26","101.8","102.53","106.96","105.72","103.4","","",
"China","CHN","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","3.31","3.71","4.97","5.98","6.66","7.14","7.46","7.44","7.4","7.43","8.31","9.05","9.22","9.32","9.64","9.63","9.76","10.53","12.32","13.74","14.35","15.34","15.99","17.8","20.2","21.39","23.46","26.23","27.77","30.03","33.75","37.06","41.56","47.28","54.54","53.5","58.36","63.25","66.8","68.08","69.41","71.34","74.54","77.28","81.31","83.26","82.84","87.11","90.25","92.48","92.85","96.45","97.34","99.17","100.66","100.17","99.99","100.57","97.14","98.44","108.08","109.5","","",
"Cote d'Ivoire","CIV","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","22.88","23.12","23.5","27.42","27.74","28.09","30.42","31.04","31.48","31.85","33.93","34.48","35.2","37.92","38.73","39.55","42.39","43.87","44.44","46.68","50.54","52.12","54.36","55.39","54.43","57.31","57.45","59.67","61.68","63","59.81","60.75","61.63","59.97","60.14","58.76","62.88","64.12","64.98","66.75","68.4","70.35","71.65","75.21","75.39","76.58","77.99","81.7","84.72","87.8","87.82","92.97","99.35","97.83","98.87","103.3","107.17","111.73","118.59","121.01","117.98","116.93","","",
"Cameroon","CMR","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","17.43","17.37","17.92","17.21","18.06","19.43","20.48","21.46","21.64","23.95","25.41","26.28","25.87","26.06","26.61","28.3","29.69","30.92","31.8","32.18","31.24","32.59","33.32","37.94","38.97","41.19","44.25","48.06","49.91","52.4","53.96","54.24","55.74","54.71","55.79","59.45","57.85","60.97","65.56","65.02","68.58","66.53","66.95","70.51","72.23","74.37","75.9","81.96","81.11","77.68","79.86","75.96","82.35","91.08","97.71","111.21","109.63","114.75","101.23","94.41","105.76","110.47","","",
"Congo, Dem. Rep.","COD","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","74.48","74.53","74.38","75.54","70.2","70.35","71.13","71.54","72.15","73.92","68.54","68.56","74.33","74.9","75.16","75.94","76.13","74.58","75.78","75.91","76.87","77.84","79.26","81.05","82.89","85.82","89.24","91.67","94.84","94.4","91.38","95.25","96.41","97.68","95.36","96.16","98.65","99.19","96.47","95.45","94.12","92.5","92.7","92.99","93.8","93.21","93.35","93.64","95.66","95.85","97.89","97.94","98.17","98.93","100.25","100.82","101.25","102","101.18","104.12","107.2","105.71","","",
"Congo, Rep.","COG","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","15.75","16.14","16.81","16.99","16.9","16.92","16.62","17.22","17.94","18.52","19.69","19.93","19.95","20.2","20.78","22.23","22.29","24.93","26","25.76","26.65","27.54","28.28","28.42","29.3","30.4","30.91","31.14","30.94","31.88","32.83","33.45","34.48","34.93","35.75","36.15","37.47","40.46","41.57","42.8","44.26","45.93","49.84","54.61","62.67","68.32","73.8","79.17","82.18","89.8","99.59","102.74","98.38","92.96","107.51","99.54","102.55","103.14","104.38","104.43","105.77","106.56","","",
"Colombia","COL","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","22.96","24.43","25.29","25.95","26.55","25.51","25.78","26.42","27.31","28.92","31.39","30.32","29.48","29.32","31.93","35.91","36.4","36.56","38.52","38.83","41.26","40.67","40.2","42.41","43.02","44.3","44.96","49.35","53.14","57.21","57.94","54.66","56.7","59.83","65.05","65.4","66.95","68.85","67.42","70.61","71.3","72.17","72.44","75.32","79.23","84.84","87.13","94.27","85.89","85.57","88.95","94.3","96.72","98.52","101.26","100.22","104.93","69","106.81","107.16","109.69","110.33","","",
"Comoros","COM","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","37.8","40.28","42.71","45.16","47.59","49.99","49.62","51.68","52.49","52.48","54.64","60.09","64.23","66.59","68.63","71.57","73.55","76.13","65.83","65","64.26","64.09","63.64","63.84","62.8","60.57","62.76","64.85","66.07","63.1","86.19","87.79","89.84","91.77","91.4","91.98","89.83","91.89","95.64","91.28","95.82","98.34","89.44","90.66","91.4","93.38","96.2","97.32","99.86","101.76","103.23","103.49","106.42","100.72","99.84","99.44","99.53","96.51","98.41","102.07","96.24","99.79","","",
"Cabo Verde","CPV","Livestock production index (2014-2016 = 100)","AG.PRD.LVSK.XD","","13.29","13.32","14.84","15.89","16.81","18.16","18.3","18.97","18.44","20.26","20.13","20.98","21.71","19.46","19.92","20.16","22.21","24","24.5","26.16","30.5","40.77","31.6","31.01","40.06","45.89","51.9","64.64","63.67","66.67","71.05","104.13","107.15","87.54","116.41","83.7","98.52","114.04","115.27","107.76","97.99","96.16","91.54","100.03","102.3","95.62","96.17","92.61","104.87","100.26","91.75","93.83","96.82","97.23","99.54","103.23","81.99","75.69","79.99","85.86","84.62","88.65","","",
